"1","2019-01-19","Мира Инструмент","Инструмент","Ремень","приводной для рубанка RICHENG 106 x L031","2.000","шт.","130.00","260.00","53"
"2","2018-11-11","Реал Маркет Коряжма","Электрика","Клипса","крепёж гофры 16мм ЭКО сосна","20.000","шт.","4.00","80.00","1"
"3","2019-01-19","Подшипники Коряжма","Расходники","Подшипник","625 (270)","1.000","шт.","60.00","60.00","63"
"4","2017-08-04","СтройМир на Пугачёва","Лакокрасочные","Краска","масляная МА бирюзовая 1,9кг. РадугаМалер","1.000","шт.","230.00","230.00","66"
"5","2017-08-04","СтройМир на Пугачёва","Расходники","Саморезы","4,2 х 41 (100шт.) с пресс-шайбой острые ","1.000","шт.","60.00","60.00","66"
"6","2017-08-04","СтройМир на Пугачёва","Расходники","Саморезы","кровельные 4,8 х 29 (100шт.)","2.000","шт.","125.00","250.00","66"
"7","2017-08-04","СтройМир на Пугачёва","Расходники","Саморезы","4,2 х 51 (100шт.) с пресс-шайбой острые","1.000","шт.","70.00","70.00","66"
"8","2017-08-04","СтройМир на Пугачёва","Расходники","Пластина","соединительная 40 х 240 х 2мм.","12.000","шт.","20.00","240.00","66"
"9","2017-08-04","СтройМир на Пугачёва","Стройматериалы","Джут","межвенцовый 150 х 5мм. х 20м.","1.000","шт.","218.00","218.00","66"
"10","2018-12-18","Баранка","Химия","Вода","дистилированная Oilright 2л.","2.000","л.","30.00","60.00","18"
"11","2018-08-15","СтройБери","Химия","Грунтовка","Альмира универсальная, 5л.","5.000","л.","37.80","189.00","73"
"12","2018-08-15","СтройБери","Лакокрасочные","Шпатлёвка","Olecolor (Воронеж) акриловая для наружных работ 0,9кг.","1.000","шт.","72.00","72.00","73"
"13","2018-08-15","СтройБери","Расходники","Саморезы","3,8 х 51мм редкая резьба","1.000","кг.","225.00","225.00","73"
"14","2018-08-15","СтройБери","Лакокрасочные","Кисть","флейцевая 2,5""","1.000","шт.","31.00","31.00","73"
"15","2017-05-22","СтройМир на Чиркова","Стройматериалы","Профнастил","профилированный лист С-8 (0,45) цвет 6005 (зелёный) 1,2 х 2м.","4.000","шт.","840.00","3259.00","67"
"16","2017-05-22","СтройМир на Чиркова","Стройматериалы","Профнастил","профилированный лист С-20R (0,45) оцинкованный 1,15 х 5м.","24.000","шт.","1610.00","37480.80","67"
"17","2017-05-22","СтройМир на Чиркова","Стройматериалы","Профнастил","профилированный лист С-20R (0,45) оцинкованный 1,15 х 3м.","8.000","шт.","966.00","7496.00","67"
"18","2017-05-22","СтройМир на Чиркова","Стройматериалы","Конёк","прямой оцинкованный 10*110*20*30*20*110*10мм. х 2м.","7.000","шт.","360.00","2444.40","67"
"19","2017-05-22","СтройМир на Чиркова","Стройматериалы","Карниз","планка (капельник) оцинкованный 100*65*10мм. х 2м.","19.000","шт.","245.00","4515.35","67"
"20","2017-05-22","СтройМир на Чиркова","Стройматериалы","Ендова","(примыкающий внутренний угол) оцинкованный 10*145*145*10мм. х 2м.","1.000","шт.","235.00","228.00","67"
"21","2017-05-22","СтройМир на Чиркова","Стройматериалы","Плита","ДВП (оргалит) 1,22 х 2,44м. х 3,2мм.","10.000","шт.","170.00","1700.00","67"
"22","2018-12-24","Сима-Ленд","Расходники","Электроды","Ресанта МР-3, 3,0мм. 3кг.","3.000","кг.","123.33","436.00","69"
"23","2018-12-24","Сима-Ленд","Расходники","Электроды","Ресанта МР-3, 4,0мм. 3кг.","3.000","кг.","123.00","435.00","69"
"24","2018-12-24","Сима-Ленд","Сад","Геотекстиль",,"1.000","шт.","1971.00","1971.00","69"
"25","2018-12-24","Сима-Ленд","Инструмент","Маска","сварщика ""Сварог"" FG-II","1.000","шт.","646.00","762.00","69"
"26","2018-12-17","Сима-Ленд","Стройматериалы","Шпалера","194 х 47 х 1см., металлическая, зелёная, ""Астра""","1.000","шт.","445.00","525.00","69"
"27","2018-12-17","Сима-Ленд","Стройматериалы","Шпалера","194 х 47 х 1см., металлическая, зелёная, ""Ромашка""","1.000","шт.","445.00","525.00","69"
"28","2018-12-17","Сима-Ленд","Инструмент","Компрессор","Airline X, 30л/мин., 7атм.","1.000","шт.","798.00","942.00","69"
"29","2018-12-17","Сима-Ленд","Инструмент","Перчатки","(краги) спилковые пятипалые, Трэк, красные, длина 35см.","1.000","шт.","225.00","266.00","69"
"30","2018-12-17","Сима-Ленд","Электрика","Кабель","""Кабэкс"", ВВГ-Пнг(А), 2 х 2,5мм. х 10м., плоский, ГОСТ 3643194","2.000","шт.","320.00","756.00","69"
"31","2018-12-17","Сима-Ленд","Электрика","Кабель","""Кабэкс"", ВВГ-Пнг(А)-LS, 2 х 1,5мм. х 5м., плоский, ГОСТ 3643210","5.000","шт.","103.00","609.00","69"
"32","2018-07-20","Мир Крепежа","Расходники","Хомут","червячный ""Titan"" 32-50мм. (2"")","1.000","шт.","19.00","19.00","52"
"33","2018-07-20","Мир Крепежа","Расходники","Скобы","для степлера ""Stelgrit"" тип 53, 10мм.","1.000","шт.","55.00","55.00","52"
"34","2018-07-20","Мир Крепежа","Расходники","Болт","М6 х 30мм. DIN 933","12.000","шт.","1.00","12.00","52"
"35","2018-07-20","Мир Крепежа","Расходники","Винт","М6 х 25мм. (полусфера) DIN 7985","8.000","шт.","2.00","12.00","52"
"36","2018-07-20","Мир Крепежа","Расходники","Болт","с внутренним шестигранником М6 х 20мм. DIN 912","8.000","шт.","2.00","12.00","52"
"37","2018-07-20","Мир Крепежа","Расходники","Болт","с внутренним шестигранником М6 х 35мм. DIN 912","8.000","шт.","2.00","16.00","52"
"38","2018-07-20","Мир Крепежа","Расходники","Болт","с внутренним шестигранником М6 х 16мм. DIN 912","8.000","шт.","1.00","8.00","52"
"39","2018-09-11","СтройБери","Расходники","Гвозди","фасованные 2,0 х 40мм., 0,5кг.","0.500","кг.","99.00","50.00","73"
"40","2018-09-11","СтройБери","Расходники","Саморезы","3,8 х 41мм редкая резьба","1.000","кг.","248.00","248.00","73"
"41","2018-09-11","СтройБери","Расходники","Саморезы","3,8 х 55мм. редкая резьба","1.000","кг.","248.00","248.00","73"
"42","2018-09-11","СтройБери","Расходники","Саморезы","3,8 х 75мм. редкая резьба","1.000","кг.","248.00","248.00","73"
"43","2018-09-11","СтройБери","Расходники","Саморезы","3,5 х 25мм. редкая резьба","1.000","кг.","248.00","248.00","73"
"44","2018-09-11","СтройБери","Расходники","Саморезы","4,2 х 95мм. редкая резьба","1.000","кг.","248.00","248.00","73"
"45","2018-09-11","СтройБери","Лакокрасочные","Кисть","флейцевая 2,5","2.000","шт.","45.00","90.00","73"
